scheme,age,snr_mean,snr_stderr
geo/r=4/m=4,42,3.697943e0,2.981658e-1
geo/r=4/m=4,52,3.399291e0,2.509215e-1
geo/r=4/m=4,65,2.717494e0,3.203430e-1
geo/r=4/m=4,80,2.799318e0,3.221089e-1
geo/r=4/m=4,100,2.392400e0,4.180032e-1
geo/r=4/m=4,125,2.390846e0,4.057009e-1
geo/r=4/m=4,155,2.094299e0,3.288965e-1
geo/r=4/m=4,193,1.938374e0,3.405967e-1
geo/r=4/m=4,241,2.013168e0,4.244901e-1
geo/r=4/m=4,300,2.053460e0,5.609458e-1
geo/r=4/m=4,373,1.451840e0,3.664748e-1
geo/r=4/m=4,465,1.208716e0,3.940857e-1
geo/r=4/m=4,579,1.543285e0,4.030144e-1
geo/r=4/m=4,721,7.478814e-1,2.494760e-1
geo/r=4/m=4,897,8.470266e-1,4.585775e-1
geo/r=4/m=4,1118,1.032391e0,3.095997e-1
geo/r=4/m=4,1392,6.645835e-1,3.759656e-1
geo/r=4/m=4,1733,-1.110120e-1,2.918366e-1
geo/r=4/m=4,2158,-1.238515e-1,2.687115e-1
geo/r=4/m=4,2687,2.701409e-1,3.486850e-1
geo/r=4/m=4,3346,-2.043626e-1,2.104993e-1
geo/r=4/m=4,4167,5.181458e-1,4.735661e-1
geo/r=4/m=4,5189,5.030887e-1,3.688567e-1
geo/r=4/m=4,6461,3.532972e-1,3.129837e-1
geo/r=4/m=4,8046,5.448878e-2,4.466446e-1
geo/r=4/m=4,10019,-1.672229e-1,3.132708e-1
geo/r=4/m=4,12476,-2.493332e-1,4.414641e-1
geo/r=4/m=4,15536,6.279717e-1,3.647883e-1
geo/r=4/m=4,19347,-2.946729e-1,3.925192e-1
geo/r=4/m=4,24091,3.927029e-1,2.617161e-1
geo/r=4/m=4,30000,1.253236e-1,2.514689e-1
geo/r=8/m=3,1,7.370081e0,1.661856e-1
geo/r=8/m=3,2,6.634947e0,1.496914e-1
geo/r=8/m=3,3,5.897914e0,2.985460e-1
geo/r=8/m=3,4,5.426454e0,2.518883e-1
geo/r=8/m=3,5,5.197171e0,3.217582e-1
geo/r=8/m=3,6,5.317542e0,2.974693e-1
geo/r=8/m=3,7,5.086751e0,5.069360e-1
geo/r=8/m=3,9,5.205537e0,2.999587e-1
geo/r=8/m=3,11,4.773237e0,3.924607e-1
geo/r=8/m=3,14,4.744808e0,1.771819e-1
geo/r=8/m=3,17,5.006078e0,3.172113e-1
geo/r=8/m=3,22,4.864170e0,2.162313e-1
geo/r=8/m=3,27,4.641689e0,1.556849e-1
geo/r=8/m=3,33,4.452234e0,2.923681e-1
geo/r=8/m=3,42,4.136449e0,3.392224e-1
geo/r=8/m=3,52,4.059646e0,2.428053e-1
